topaz_id,wepp_id,width,length,area,slope,aspect,dom_landuse,landuse_description,dom_soil,soil_description,cli_fn,longest_fp,longest_fp_length,longest_fp_slope
,,m,m,ha,decimal,degree,,,,,,,m,decimal
973,231,144.8528137423857,24.852813742385703,0.36000000000000004,2.003733081003699,150.02808145605354,105,High Severity Fire,459984-sand loam-forest high sev fire,"Corbett very rocky loamy coarse sand, 30 to 80 percent slopes (LCOS) - forest high sev fire",wepp.cli,,,
982,232,476.98484809835,81.13465271337175,3.87,2.041096391847025,121.69821154860492,105,High Severity Fire,459982-sand loam-forest high sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - forest high sev fire",wepp.cli,,,
983,233,476.98484809835,152.83504348332818,7.29,1.5281098885290327,178.7010173795521,120,Shrub Moderate Severity Fire,459982-sand loam-shrub moderate sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - shrub moderate sev fire",wepp.cli,,,
991,234,160.65286188083326,621.8376618407357,9.99,0.6454158156466263,133.92033295159447,120,Shrub Moderate Severity Fire,459982-sand loam-shrub moderate sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - shrub moderate sev fire",wepp.cli,,,
992,235,84.8528137423857,21.213203435596427,0.18000000000000002,1.450345184566615,109.5,118,Moderate Severity Fire,459982-sand loam-forest moderate sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - forest moderate sev fire",wepp.cli,,,
1001,236,233.9696961966999,476.98484809835,11.16,0.6384058800824518,158.59021450471576,120,Shrub Moderate Severity Fire,459982-sand loam-shrub moderate sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - shrub moderate sev fire",wepp.cli,,,
1003,237,84.8528137423857,275.77164466275354,2.3400000000000003,0.8034194374443794,186.4762679324556,120,Shrub Moderate Severity Fire,459982-sand loam-shrub moderate sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - shrub moderate sev fire",wepp.cli,,,
1011,238,211.86787669979515,484.2640687119285,10.26,0.9836995314772292,129.51330940823277,120,Shrub Moderate Severity Fire,459982-sand loam-shrub moderate sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - shrub moderate sev fire",wepp.cli,,,
1012,239,397.27922061357856,111.00505063388334,4.41,2.0024068464574185,144.83747666981756,119,Shrub High Severity Fire,459982-sand loam-shrub high sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - shrub high sev fire",wepp.cli,,,
1013,240,397.27922061357856,24.919501162708507,0.9900000000000001,1.6487247062214994,204.1020487605969,105,High Severity Fire,459982-sand loam-forest high sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - forest high sev fire",wepp.cli,,,
1021,241,301.68724975384373,498.1980515339464,15.030000000000001,0.8419575378263321,135.96560250063362,120,Shrub Moderate Severity Fire,459982-sand loam-shrub moderate sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - shrub moderate sev fire",wepp.cli,,,
1022,242,858.8225099390856,101.65080559683048,8.73,1.1985057087648827,104.31261851114844,105,High Severity Fire,459982-sand loam-forest high sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - forest high sev fire",wepp.cli,,,
1023,243,858.8225099390856,101.65080559683048,8.73,2.782644327451438,167.06790163649023,120,Shrub Moderate Severity Fire,459982-sand loam-shrub moderate sev fire,"Corbett loamy coarse sand, 30 to 70 percent slopes, severely eroded (LCOS) - shrub moderate sev fire",wepp.cli,,,
1031,244,315.2900397563425,319.7056274847714,10.08,0.7011697358872079,146.38163001666825,105,High Severity Fire,459954-sand loam-forest high sev fire,"Chaix sandy loam, 50 to 70 percent (SL) - forest high sev fire",wepp.cli,,,
