DAILY TOTAL WATER BALANCE AND SEDIMENT

Total Area (m^2): 23132916.841186523

Year,Month,Day,Julian,Water Year,WaterYear,Sed Del (kg),Sed Del c1 (kg),Sed Del c2 (kg),Sed Del c3 (kg),Sed Del c4 (kg),Sed Del c5 (kg),Cumulative Sed Del (tonnes),Sed Del Density (tonne/ha),Precipitation (mm),Rain + Melt (mm),Transpiration (mm),Evaporation (mm),ET (mm),Percolation (mm),Runoff (mm),Lateral Flow (mm),Storage (mm),Reservoir Volume (mm),Baseflow (mm),Aquifer Losses (mm),Streamflow (mm)
2018,9,5,248,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06656530286945536,0.0,0.12573702452728547,137.436054802144,1.7184105737138902,0.06873642294855561,0.0,0.19447344747584108
2018,9,6,249,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06656220214496741,0.0,0.12450409876837967,137.244849097882,1.716236352910302,0.06864945411641209,0.0,0.19315355288479175
2018,9,7,250,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06599581559368428,0.0,0.12349015881125928,137.05550676110192,1.7135827143875741,0.06854330857550296,0.0,0.19203346738676225
2018,9,8,251,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06486536778090375,0.0,0.12226662835585238,136.86870434903582,1.7099047735929749,0.068396190943719,0.0,0.19066281929957138
2018,9,9,252,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06435805900445984,0.0,0.12066095785631266,136.68339640743213,1.7058666416537158,0.06823466566614864,0.0,0.1888956235224613
2018,9,10,253,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06369733105552897,0.0,0.11936543381389679,136.49979294513835,1.7013293070430962,0.06805317228172385,0.0,0.18741860609562064
2018,9,11,254,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06338527300258907,0.0,0.11792636498982334,136.31819900772152,1.6966614077639612,0.06786645631055845,0.0,0.18579282130038177
2018,9,12,255,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06329810552331443,0.0,0.1167206698690532,136.13793965293758,1.6920930569767172,0.06768372227906869,0.0,0.18440439214812188
2018,9,13,256,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06325452178763477,0.0,0.11572114133989288,135.95820533090892,1.6876638564852833,0.06750655425941134,0.0,0.1832276955993042
2018,9,14,257,2018,583202,0.0,0.0,0.0,0.0,0.0,0.0,34699.85426578251,0.0,0.0,0.0,0.0,0.0,0.0,0.06325452178763477,0.0,0.1146057803784846,135.78064461812338,1.6834118240135068,0.06733647296054027,0.0,0.18194225333902486
